Serial,Song,Artist
301,Galway Girl,Ed Sheeran
302,Perfect,Ed Sheeran
303,Photograph,Ed Sheeran
304,Thinking out Loud,Ed Sheeran
305,Castle on the Hill,Ed Sheeran
306,Someone New,Hozier
307,Work Song,Hozier
308,Take Me to Church,Hozier
309,From Eden,Hozier
310,Good Life,OneRepublic
311,That's What I Like,Bruno Mars
312,24K Magic,Bruno Mars
313,Grenade,Bruno Mars
314,Just the Way You Are,Bruno Mars
315,The Lazy Song,Bruno Mars
316,Uptown Funk,The Ayoub Sisters
317,Hymn for the Weekend,Coldplay
318,Fix You,Coldplay
319,The Scientist,Coldplay
320,Up&Up,Coldplay
321,I Want It That Way,Backstreet Boys
322,Larger Than Life,Backstreet Boys
323,Stay With Me,Sam Smith
324,I'm Not The Only One,Sam Smith
325,Lay Me Down,Sam Smith
326,Money On My Mind,Sam Smith
327,House of Glass,KONO
328,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
329,Hall of Fame,The Script
330,If You Could See Me Now,The Script
331,Best Love Song,T-Pain
332,Don't Let Me Down - Remastered 2009,The Beatles
333,Sugar,Maroon 5
334,All of Me,John Legend
335,Scream & Shout,will.i.am
336,Hello,Adele
337,Rude,MAGIC!
338,Superheroes,The Script
339,Riptide,Vance Joy
340,Ophelia,The Lumineers
341,Raging Fire,Phillip Phillips
342,Home,Phillip Phillips
343,Time Flies,Porcupine Tree
344,Walk,Foo Fighters
345,Feel This Moment (feat. Christina Aguilera) - Radio Edit,Pitbull
346,Afterhours feat. Diplo & Nina Sky,TroyBoi
347,Pompeii,Bastille
348,Ho Hey,The Lumineers
349,Demons,Imagine Dragons
350,High On Your Love (Radio Mix),Sharon Doorson
351,Paradise,Coldplay
352,I Won't Give Up,Jason Mraz
353,Riptide,Vance Joy
354,Tangled Up,Caro Emerald
355,Chasing Cars,Snow Patrol
356,Drive By,Train
357,Believe,Mumford & Sons
358,"Gone, Gone, Gone",Phillip Phillips
359,I Bet My Life,Imagine Dragons
360,Mind is Blown,Mainstreet
361,Hold Back The River,James Bay
362,With You,Matt Simons
363,Dog Days Are Over,Florence + The Machine
364,Timber,Pitbull
365,Clarity,Zedd
366,I Will Wait,Mumford & Sons
367,Be Right There,Diplo
368,Team,Lorde
369,It's Time,Imagine Dragons
370,Budapest,George Ezra
371,Best Day Of My Life,American Authors
372,I Lived,OneRepublic
373,Let Her Go,Passenger
374,"Hey, Soul Sister",Train
375,On Top Of The World,Imagine Dragons
