Serial,Song,Artist
307,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown
308,Never Go Back,Dennis Lloyd
309,Missin You Crazy,Russ
310,Slow Motion,Trey Songz
311,Sway,Tove Styrke
312,Stay With Me,ayokay
313,Meant to Be (feat. Florida Georgia Line),Bebe Rexha
314,Dance For Me (Eugy X Mr Eazi),Eugy
315,Boasty (feat. Idris Elba),Wiley
316,Eastside (with Halsey & Khalid),benny blanco
317,Slow Hands,Niall Horan
318,Old Town Road,Lil Nas X
319,Young Dumb & Broke,Khalid
320,Bad and Boujee (feat. Lil Uzi Vert),Migos
321,White Iverson,Post Malone
322,Mask Off,Future
323,Deja Vu,Post Malone
324,ELEMENT.,Kendrick Lamar
325,Hotline Bling,Drake
326,YuNg BrAtZ,XXXTENTACION
327,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X
328,WAKE UP,Travis Scott
329,Nobody Gotta Know,Why Don't We
330,Pumped Up Kicks,Foster The People
331,Voices In My Head/Stick To The Plan,Big Sean
332,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd
333,Wake Up in the Sky,Gucci Mane
334,Midsummer Madness,88rising
335,Icy (feat. Gucci Mane),Logic
336,Lost Stars,Adam Levine
337,Latch,Disclosure
338,Talk,Khalid
